"id","名前","種類","性別","年齢（登録時）","体重","毛色","避妊・去勢","マイクロチップ","ワクチン接種","ひとこと","健康状態","性格","保護された経緯","写真ファイルパス"
"1606","チェリーちゃん","ミニチュア・ダックスフンド","メス（♀）","推定6?7歳（2015年02月10日登録）","4.8kg","ブラック・タン","済","有","済","終生飼育していただける優しい飼い主さんを待っています!※譲渡前の審査段階でのご自宅訪問や譲渡後のフォローなどの関係上東京、神奈川、埼玉、千葉エリアと限らせて頂いております。","・良好・歯石除去済・2013年5月チェリーアイ手術済・同皮膚の腫瘍【脂肪腫】切除済(腫瘍自体は良性で害を与えるものではありません。現段階では全摘出していますが、今後再発する可能性もあります。)・口腔内の炎症が鼻腔に達しているので、要経過観察中","・人懐っこくて、誰にでも愛嬌いっぱい。・抱っこが大好きで、甘えん坊です。・顔が見えないと不安になって、少しワンワン吠えます。","・飼い主様の体調不良により保護。","./img/1606/"
"1607","ごんた君","日本猫","オス（♂）","推定12-13歳（2015年02月10日登録）","6kg","白、黒、茶","済","無","済","終生飼育していただける優しい飼い主さんを待っています!譲渡前の審査段階でのご自宅訪問や譲渡後のフォローなどの関係上東京、神奈川、埼玉、千葉エリアと限らせて頂いております。","・良好・2016年混合ワクチン接種済・2015年7月Felv/FIVウィルスチェック陰性","・人見知りせず、誰にでも甘えます。・なでるとすぐにゴロゴロと喉をならします。・手をペロペロと舐めるのが大好きです!・あまり抱っこが好きではありません。★まったりと我が道を行くというようなこです(^_^)","飼い主様が体調を崩された為、新しい飼い主様を探しております。","./img/1607/"
"1608","ミイシャちゃん","アメリカン・ショートヘア","メス（♀）","推定8?9歳（2015年02月10日登録）","3kg","黒、グレー","済","無","未","終生飼育していただける優しい飼い主さんを待っています!譲渡前の審査段階でのご自宅訪問や譲渡後のフォローなどの関係上東京、神奈川、埼玉、千葉エリアと限らせて頂いております。","・良好","・人懐っこくて、大人しいこです。・お家に帰ってきたらお迎えにきてくれます!","現飼い主様が体調を崩したため。","./img/1608/"
"1621","※急募※ユウリちゃん","ミックス","メス（♀）","4歳0ヵ月（2015年02月10日登録）","5.6kg","キジトラ、白","済","無","済","終生飼育していただける優しい飼い主さんを待っています!※譲渡前の審査段階でのご自宅訪問や譲渡後のフォローなどの関係上東京、神奈川、埼玉、千葉エリアと限らせて頂いております。詳しくは、「必ずお読みください」をご覧ください。","・良好・2015年5月8日混合ワクチン接種★肥満傾向のため、ダイエット中★","・人懐っこくて、甘えん坊で女性が大好き。・少し甘噛みをします。・人見知りしません。・しつけは出来ています。(爪とぎ、室内設置トイレ(チップ))","・飼い主様のご都合で、終生飼育が困難なため。","./img/1621/"
"1622","風太くん","日本猫","オス（♂）","推定7歳（2015年02月10日登録）","3kg","白、黒","済","無","済","終生飼育していただける優しい飼い主さんを待っています!※譲渡前の審査段階でのご自宅訪問や譲渡後のフォローなどの関係上東京、神奈川、埼玉、千葉エリアと限らせて頂いております。詳しくは、「必ずお読みください」をご覧ください。","・良好・2016年混合ワクチン接種済","・人懐っこくて、大人しい性格です。・とてもおしゃべりです♪「ふうた」と呼ぶとにゃーと鳴き返してくれます。・活発な男の子なので、お部屋の中を走るのが大好きです。★最初は警戒心が強いのでお家に慣れるまで時間を要します。","現飼い主様がご高齢で、終生飼育ができないため","./img/1622/"
"1625","ジャム","ミニチュア・ダックスフンド","オス（♂）","9歳8ヵ月（2015年02月11日登録）","6.5kg","ブラックタン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1625/"
"1626","10122クー","その他の犬種、ミックス","オス（♂）","12歳0ヵ月（2015年02月12日登録）","12.5kg","茶","済","無","済","人にも犬にもフレンドリーなクーは、シェルターに犬友達がたくさんいます。","良好mf(‐)抗原(‐)","散歩は落ち着いて歩いていますが、大好きなおやつに気付くと走ったり「ちょうだいと」ねだりながら飛びついてくるところも可愛らしいです。「オスワリ」「フセ」を覚え、保定されることにも慣れており上手に動かずにじっとしていることができます。","2011年4月下旬に保護されシェルターにて預かりとして収容していましたが、2015年2月に飼い主様が所有権を放棄することになった為、新しいご家族を探しています。","./img/1626/"
"1627","10536ツヨシ","その他の犬種、ミックス","オス（♂）","推定4‐5歳（2015年02月12日登録）","25kg","白黒茶ブチ","済","無","未","低く力強い声がかっこよく、おもちゃをくわえて遊ぼう!と走る姿がとてもかわいいつよしです。","良好mf(-)抗原(-)","がっしりした体格の明るく人懐こい。おやつよりコングやおもちゃに目がなく、持っているとおもちゃが欲しくて飛びついてきます。散歩はまだ引きが強いですが、他の犬に吠えたりすることはなく、興味を持ち近づこうとする姿も見られます。お座りも上手にできます。","2015年2月5日双葉郡浪江町にて保護","./img/1627/"
"1628","10535ダンビ","その他の犬種、ミックス","オス（♂）","推定2歳（2015年02月12日登録）","9.7kg","黒白","済","無","未","人が大好きなかまって君です。まだ少し落ち着きがないところもありますが、甘えん坊の天真爛漫なダンビです。","良好mf(-)抗原(-)","かまって欲しいあまり飛びついてきたり甘噛みもしてくることもあります。散歩はまだ引き気味ですが、少しずつ上手に出来るようになってきました。おもちゃも好きでよく遊びますが、物への執着が強くなかなか放さないので訓練中です。他の犬を見たりかまっているとやきもちを焼いて吠えたりしてしまいます。保護時より「オスワリ」と「マテ」はできていました。","2014年12月10日に双葉郡浪江町にて放浪していたところを保護","./img/1628/"
"1633","うじゃ","ヨークシャー・テリア","メス（♀）","6歳1ヵ月（2015年02月14日登録）","1.5kg","スティールブルー","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1633/"
"1634","このみ","トイ・プードル","メス（♀）","4歳9ヵ月（2015年02月14日登録）","2.6kg","アプリコット","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1634/"
"1635","カメリア","ヨークシャー・テリア","メス（♀）","6歳9ヵ月（2015年02月14日登録）","2.7kg","スティールブルー","済","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1635/"
"1638","にこ","ミックス","メス（♀）","0歳6ヵ月（2015年02月17日登録）","2.5kg","キジトラ","済","有","済","家族を迎えるような気持ちで里親になってくださるお家を探しています。よろしくお願いします。","良好です。猫エイズウイルス検査:陰性猫白血病ウイルス検査:陰性","元気いっぱいのおてんばさんお膝にのって喉をゴロゴロならして甘えます。他の猫と仲良く出来ます。","猫風邪をひき弱っていたところを保護されました。保護主さんが譲渡を希望されています。","./img/1638/"
"1639","だいきち","ミックス","オス（♂）","推定2歳（2015年02月17日登録）","5.7kg","キジトラ","済","無","済","家族を迎えるような気持ちで里親になってくださるお家を探しています。少し臆病な成猫です始めは人見知りをしますが、優しく接していれば直に慣れると思います。身体が大きく存在感のある猫です。よろしくお願いします。","良好です。猫エイズウイルス検査:陰性猫白血病ウイルス検査:陰性","少し臆病ですが、慣れるとゴロゴロのどを鳴らして甘えます。多頭飼いの家で暮らしていました。猫との接し方を心得ています。","飼い主さんが亡くなったため新しいお家を探しています。","./img/1639/"
"1643","るこ","ウェルシュ・コーギー・ペンブローク","メス（♀）","0歳9ヵ月（2015年02月20日登録）","7kg","レッドアンドホワイト","未","有","済","お気軽にお問い合わせください。","後ろ脚麻痺","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1643/"
"1644","ちゃっちゃん","ウェルシュ・コーギー・ペンブローク","オス（♂）","0歳9ヵ月（2015年02月20日登録）","10kg","レッドアンドホワイト","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1644/"
"1647","アンバー","その他の犬種、ミックス","オス（♂）","推定3歳（2015年02月25日登録）","4.3kg","白茶","済","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1647/"
"1652","メケ","トイ・プードル","メス（♀）","5歳5ヵ月（2015年02月25日登録）","3.7kg","レッド","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1652/"
"1656","ノン","ヨークシャー・テリア","メス（♀）","7歳0ヵ月（2015年02月26日登録）","2.1kg","スティールブルー","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1656/"
"1659","クロ","柴","メス（♀）","5歳0ヵ月（2015年02月26日登録）","5.9kg","黒","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1659/"
"1668","もっち","スコティッシュ・フォールド","オス（♂）","0歳9ヵ月（2015年02月27日登録）","3kg","シルバータビー","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1668/"
"1669","ニーナ","ミニチュア・ダックスフンド","メス（♀）","4歳11ヵ月（2015年02月27日登録）","3.7kg","チョコタン","済","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1669/"
"1675","やすひこくん","ヨークシャー・テリア","オス（♂）","0歳2ヵ月（2015年03月02日登録）","0.65kg","スチールブルー","未","有","済","新しく家族の一員に迎えて頂ける方を募集しております。☆ご家族全員が犬を迎えることに賛成な方。☆犬を飼うことが可能なお住まいに住んでる方。☆犬を飼えるスペースと時間があり、フード代や医療費などの経済的負担がが可能な方。☆混合ワクチン・狂犬病ワクチン・フィラリア症の予防をきちんと行って頂ける方。☆必ず避妊手術をして頂ける方。☆室内飼育をして頂ける方。☆家族同様に愛情をもってしつけをし、最後まで責任をもってお世話をして頂ける方。☆血統書はありません☆現状でのお渡しになります。もともとの疾患もあり必ずしも完全に健康とは言い切れない部分もある可能性がありますのでそのあたりをご理解頂ける方でお願いします。","生まれつきの心臓疾患(動脈管開存症)だったためブリーダーの方より当院にて引き取り手術を行っております。現在は心雑音もなく元気です。その他成長にしたがってなにか病気になる、または発覚することもありますのでそれをご理解頂ける方でお願いします。","怖がりなところもありますが活発で愛想もいいです。","ブリーダーさんより先天性心疾患のため引き取りました。","./img/1675/"
"1676","チョコタン","ミニチュア・ダックスフンド","オス（♂）","1歳1ヵ月（2015年03月03日登録）","3kg","チョコタン","未","有","済","お気軽にお問い合わせください。","皮膚難あり。現在は良くなってきていて、数か所ハゲがあるのみです。","おもちゃが大好き。走り回るのが大好き。大変人懐こい性格です。","当方ではさまざまな事情により保護された子の譲渡に力を入れています。","./img/1676/"
"1683","エラン","パピヨン","オス（♂）","0歳6ヵ月（2015年03月03日登録）","2.1kg","ホワイトブラウン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1683/"
"1684","大ちゃん","ラブラドール・レトリーバー","オス（♂）","0歳9ヵ月（2015年03月04日登録）","23.4kg","イエロー","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1684/"
"1685","メッシ","ポメラニアン","オス（♂）","0歳10ヵ月（2015年03月04日登録）","3.8kg","オレンジ","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1685/"
"1691","たいじくん","トイ・プードル","オス（♂）","0歳2ヵ月（2015年03月04日登録）","1kg","レッド","未","有","済","新しく家族の一員に迎えて頂ける方を募集しております。☆ご家族全員が犬を迎えることに賛成な方。☆犬を飼うことが可能なお住まいに住んでる方。☆犬を飼えるスペースと時間があり、フード代や医療費などの経済的負担がが可能な方。☆混合ワクチン・狂犬病ワクチン・フィラリア症の予防をきちんと行って頂ける方。☆必ず避妊手術をして頂ける方。☆室内飼育をして頂ける方。☆家族同様に愛情をもってしつけをし、最後まで責任をもってお世話をして頂ける方。☆血統書はありません☆現状でのお渡しになります。もともとの疾患もあり必ずしも完全に健康とは言い切れない部分もある可能性がありますのでそのあたりをご理解頂ける方でお願いします。","生まれて間もなく足先が壊死したため左後肢の先端がありません。その他の3本の肢は異常なく元気も食欲もあります。","元気で人懐っこいです。","上記のため里親募集となりました。","./img/1691/"
"1693","サンチェ","ミックス","オス（♂）","0歳2ヵ月（2015年03月04日登録）","0.7kg","黒白","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1693/"
"1700","小太郎","チワワ","オス（♂）","0歳5ヵ月（2015年03月05日登録）","1.1kg","フォーン","未","有","済","お気軽にお問い合わせください。","水頭症疑い","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1700/"
"1701","KIKI","ロシアンブルー","オス（♂）","0歳5ヵ月（2015年03月05日登録）","1.1kg","ブルー","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1701/"
"1702","リンコ","その他の犬種、ミックス","メス（♀）","0歳4ヵ月（2015年03月05日登録）","6.5kg","茶","未","無","済","生涯にわたって責任を持って飼育してくださる方。避妊手術は必ず行ってください。ワクチン接種、フィラリア予防、ノミ,マダニなど外部寄生虫駆除、していただける方。ご家族全員の飼育同意があり、毎日お散歩していただける方にぜひ里親さんになって頂きたいと希望しています。","特に異常は認めない","賢くておとなしい無駄吠えをあまりしない人が大好き","市役所の動物担当課職員から相談を受けて預かった。","./img/1702/"
"1703","レペタン","その他の犬種、ミックス","メス（♀）","0歳4ヵ月（2015年03月05日登録）","6.5kg","茶","未","無","済","生涯にわたって責任を持って飼育できる方。避妊手術は必ず行ってください。ワクチン接種、フィラリア予防、ノミダニなど外部寄生虫駆除を行える方で、ご家族全員の飼育同意があり、毎日お散歩ができる方に是非里親さんになって頂きたいと希望しています。","良好","穏やかおとなしく協調性がある","市役所動物担当課職員から相談をうけ預かった","./img/1703/"
"1704","ドグ","ミニチュア・ダックスフンド","オス（♂）","7歳6ヵ月（2015年03月06日登録）","5.2kg","ブラックタン","未","有","済","お気軽にお問い合わせください。","","慣れるととても甘えん坊です。名前を呼ぶとついてきてくれます。何かに執着しているとき、注意が必要です。","ブリーダーからの保護","./img/1704/"
"1705","健太郎くん","チワワ","オス（♂）","3歳1ヵ月（2015年03月06日登録）","2kg","フォーンホワイト","済","有","未","終生飼育していただける優しい飼い主さんを待っています!譲渡前の審査段階でのご自宅訪問や譲渡後のフォローなどの関係上東京、神奈川、埼玉、千葉エリアと限らせて頂いております。","・良好・2014年6月狂犬病予防注射接種済・昨年フィラリア予防していない","・誰にでも甘える性格で、抱っこが大好きです。","住宅事情により継続飼養困難な為。","./img/1705/"
"1706","OHANA君","シー・ズー","オス（♂）","3歳1ヵ月（2015年03月06日登録）","4kg","ホワイト/ゴールド","未","有","未","終生飼育していただける優しい飼い主さんを待っています!譲渡前の審査段階でのご自宅訪問や譲渡後のフォローなどの関係上東京、神奈川、埼玉、千葉エリアと限らせて頂いております。譲渡後に、去勢手術を行っていただくことが条件となります。","・良好・フィラリア予防投与期間:2014年8-9月","・特定の人に甘える。・ごはんやおやつが大好き。・臆病な部分はありますが、とっても優しいこです。・ごはんの時に吠えます。","住宅事情により継続飼養困難な為。","./img/1706/"
"1707","七之助くん","その他の犬種、ミックス","オス（♂）","1歳8ヵ月（2015年03月06日登録）","4kg","茶","済","無","済","終生飼育していただける優しい飼い主さんを待っています!譲渡前の審査段階でのご自宅訪問や譲渡後のフォローなどの関係上東京、神奈川、埼玉、千葉エリアと限らせて頂いております。","・良好・2014年6月狂犬病予防注射接種済・昨年フィラリア予防していない","・特定の人に甘える。・人に対して警戒心がつよいですが、優しいこです。・あまり吠えません。・臆病なところがあり、叱られるとおもらしをしてしまいます。","住宅事情により継続飼養困難な為。","./img/1707/"
"1708","銀時(ぎんとき)くん","シー・ズー","オス（♂）","1歳10ヵ月（2015年03月06日登録）","4kg","ホワイト/ゴールド","未","有","済","終生飼育していただける優しい飼い主さんを待っています!譲渡前の審査段階でのご自宅訪問や譲渡後のフォローなどの関係上東京、神奈川、埼玉、千葉エリアと限らせて頂いております。譲渡後に、去勢手術を行っていただくことが条件となります。","・良好・2014年6月狂犬病予防注射接種済・昨年フィラリア予防していない","・特定の人に甘えます。・ご飯やおやつが大好きな食いしん坊でご飯のときに吠えます。・とても優しいこで、おっとりした性格です。","住宅事情により継続飼養困難な為。","./img/1708/"
"1713","リア","チワワ","メス（♀）","6歳0ヵ月（2015年03月06日登録）","2.4kg","チョコタン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1713/"
"1715","ガルーダ","その他の犬種、ミックス","オス（♂）","4歳0ヵ月（2015年03月06日登録）","7.8kg","シルバー","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1715/"
"1720","ごろ君","ミックス","オス（♂）","推定1歳（2015年03月09日登録）","2.85kg","白・キジトラ","済","無","済","保護された際罠に引っかかった状態だったため、左前肢を切断せざるを得ませんでしたが、今は元気に歩き回っています。とても人懐こく、喉を鳴らしてゴロゴロひっくり返って甘えます。トイレも上手にできるようになりました。大切にしていただける方との良縁をお待ちしています。","良好2015年3月9日時点、エイズ・白血病検査はともに陰性です","甘えん坊","罠に引っかかって暴れていたところを保護されました。","./img/1720/"
"1723","ぷか","その他の犬種、ミックス","メス（♀）","推定5歳（2015年03月09日登録）","5.8kg","ブラック","未","有","済","お気軽にお問い合わせください","","控えめで、すこし怖がりです。他のわんちゃんととても仲良くできます。","当方ではやむを得ない理由により保護された子の譲渡に力を入れております。","./img/1723/"
"1725","レミ","ミニチュア・ダックスフンド","メス（♀）","7歳4ヵ月（2015年03月09日登録）","3.7kg","レッド","未","無","済","お気軽にお問い合わせください。","","とてもおとなしく、控えめですが懐こい性格です。抱っこと寝ることがとても好きです。","当方ではやむを得ない事情により保護された子の譲渡に力を入れております。","./img/1725/"
"1730","オレオ","チワワ","メス（♀）","5歳9ヵ月（2015年03月12日登録）","2.8kg","チョコタン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1730/"
"1731","ファンキー","ミニチュア・ダックスフンド","オス（♂）","0歳7ヵ月（2015年03月12日登録）","3.7kg","ブラックタン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1731/"
"1732","クララ","ロシアンブルー","メス（♀）","5歳5ヵ月（2015年03月12日登録）","2.2kg","ブルー","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1732/"
"1734","すみれちゃん","ミックス","メス（♀）","0歳4ヵ月（2015年03月12日登録）","1.9kg","キジ","未","無","未","パッチリとした眼の美人な女の子です(^^)新しく家族になって下さる方お待ちしております。","","","飼い主さんが譲渡を希望されています。","./img/1734/"
"1738","にゃんちゃん","ミックス","メス（♀）","推定2歳（2015年03月13日登録）","4kg","三毛","済","無","済","家族を迎えるような気持ちで里親になってくださるお家をさがしています。ちょっと臆病な成猫ですが、優しく接しているとすぐに慣れます。よろしくお願いします。","良好です猫エイズウイルス検査:陰性猫白血病ウイルス検査:陰性","少し臆病で人見知りをしますが、慣れるとゴロゴロ喉を鳴らして甘えてきます。","飼い主さんが亡くなったため新しいお家を探しています。","./img/1738/"
"1740","チャチャ","チワワ","メス（♀）","6歳0ヵ月（2015年03月14日登録）","1.8kg","チョコタン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1740/"
"1747","エル","ミニチュア・ダックスフンド","メス（♀）","5歳5ヵ月（2015年03月14日登録）","3.6kg","ブラックタンパイボールド","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1747/"
"1750","あんみ","パピヨン","メス（♀）","推定5歳（2015年03月14日登録）","4.3kg","ホワイト&レッド","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1750/"
"1752","ノナ","パピヨン","オス（♂）","推定5歳（2015年03月14日登録）","3.6kg","ホワイト&ブラウン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1752/"
"1755","やんぼう","日本猫","オス（♂）","0歳3ヵ月（2015年03月16日登録）","1.8kg","キジトラ","済","無","済","野良猫出身ですが、とても人懐っこく、ゴロにゃんです。","鼻炎持ち。右眼に白い傷跡、左眼がやや小さめですが、視力に問題なし。","極めて良好","ボランティアさんから引き取り。詳細は不明。","./img/1755/"
"1756","まーぼう","日本猫","オス（♂）","0歳4ヵ月（2015年03月16日登録）","2.4kg","キジトラ","済","無","済","かなりびびりですが、咬みついたりはしません。顔はかわいらしく、目はぱっちりです。","良好","臆病","ボランティアさんより引き取り。詳細は不明。","./img/1756/"
"1758","アグリン","ミニチュア・ダックスフンド","メス（♀）","6歳8ヵ月（2015年03月16日登録）","3.7kg","チョコレートタン","未","無","済","お気軽にお問い合わせください。","","","当方ではやむを得ない事情により保護された子の譲渡に力を入れております。","./img/1758/"
"1764","京四郎","ヨークシャー・テリア","オス（♂）","0歳2ヵ月（2015年03月17日登録）","0.6kg","スティールブルータン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1764/"
"1765","ミント","カニーンヘン・ダックスフンド","メス（♀）","0歳2ヵ月（2015年03月17日登録）","0.7kg","イザベラ","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1765/"
"1766","しろもん","その他の犬種、ミックス","オス（♂）","0歳4ヵ月（2015年03月17日登録）","4.9kg","白","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1766/"
"1771","リン","ミニチュア・ピンシャー","メス（♀）","7歳3ヵ月（2015年03月19日登録）","4.2kg","4.2","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1771/"
"1777","バタピー","ミニチュア・ダックスフンド","メス（♀）","2歳1ヵ月（2015年03月21日登録）","3.3kg","クリーム","済","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1777/"
"1779","おぼろ","ロシアンブルー","オス（♂）","5歳8ヵ月（2015年03月21日登録）","3.6kg","ブルー","済","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1779/"
"1780","おねえ","ペルシャ（チンチラ）","オス（♂）","1歳0ヵ月（2015年03月21日登録）","2.9kg","チンチラシルバー","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1780/"
"1782","シャンテちゃん","チワワ","メス（♀）","2歳1ヵ月（2015年03月24日登録）","1.6kg","ブラウン","未","有","未","終生飼育していただける優しい飼い主さんを待っています!※譲渡前の審査段階でのご自宅訪問や譲渡後のフォローなどの関係上東京、神奈川、埼玉、千葉エリアと限らせて頂いております。詳しくは、「必ずお読みください」をご覧ください。","・良好・アンダーショット・2015年4月血液検査問題なしフィラリア検査陰性・2015年4月不妊手術予定","・人懐っこくて、すぐお腹をだしてくれます。・抱っこが大好きです。元気一杯の女の子です。・とっても食いしん坊・基本静かですが来客時など知らない人が来たとき吠えますが、すぐおさまります。","体力の限界と住宅事情により飼えなくなった為","./img/1782/"
"1788","ゾノ","トイ・プードル","オス（♂）","1歳1ヵ月（2015年03月25日登録）","1.1kg","レッド","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1788/"
"1792","ナハス","その他の犬種、ミックス","メス（♀）","0歳2ヵ月（2015年03月26日登録）","0.7kg","ホワイト","未","有","済","お気軽にお問い合わせください。","先天性心疾患","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1792/"
"1795","陸","柴","オス（♂）","2歳6ヵ月（2015年03月26日登録）","8.5kg","赤","済","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1795/"
"1797","リリス","ヨークシャー・テリア","メス（♀）","2歳8ヵ月（2015年03月26日登録）","3.3kg","スティールブルー","済","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1797/"
"1798","レインくん","ミニチュア・ダックスフンド","オス（♂）","11歳4ヵ月（2015年03月27日登録）","4.2kg","レッド","済","無","済","終生飼育していただける優しい飼い主さんを待っています。できれば、同居犬(M,ダックス、8才、避妊メス)と一緒に飼養していただける方を希望します。2匹一緒にいると落ち着いています。","・良好・狂犬病予防注射およびフィラリア予防実施・年令の割には健康面および外見上若く感じます","・物音とかすると、最初は吠えますが、しばらくすると落ち着きます。・人懐っこい性格です。・ケージの中で待っていることができます。・マテ、オスワリができます。","家庭事情により終生飼養ができなくなったため","./img/1798/"
"1799","マリンちゃん","ミニチュア・ダックスフンド","メス（♀）","8歳10ヵ月（2015年03月27日登録）","3kg","クリーム","済","無","済","終生飼育していただける優しい飼い主さんを待っています。できれば、同居犬(M,ダックス、去勢オス、11歳)と一緒に飼っていただける方を希望します。2匹一緒にいるととても落ち着いています。","・良好・狂犬病予防注射およびフィラリア予防実施・年令の割には健康面および外見上若く感じます。","・来客、物音とかすると最初は吠えますが、しばらくすると落ち着きます。・とっても人懐っこく、元気な女の子です。","家庭事情により、終生飼養ができなくなったため","./img/1799/"
"1801","ポピラ","その他の犬種、ミックス","オス（♂）","0歳8ヵ月（2015年03月27日登録）","2.8kg","ブラック","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1801/"
"1802","冨枝","ペキニーズ","メス（♀）","4歳0ヵ月（2015年03月27日登録）","4.9kg","ブラック","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1802/"
"1806","アビー","フレンチ・ブルドッグ","メス（♀）","6歳0ヵ月（2015年03月30日登録）","8.5kg","クリーム","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1806/"
"1807","さくらんぼ","ボストン・テリア","メス（♀）","3歳0ヵ月（2015年03月30日登録）","6.2kg","ブリンドル&ホワイト","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1807/"
"1808","るの","トイ・プードル","メス（♀）","5歳0ヵ月（2015年03月30日登録）","3.4kg","アプリコット","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1808/"
"1809","ミーピン","ミニチュア・ピンシャー","メス（♀）","5歳0ヵ月（2015年03月30日登録）","1.8kg","レッド","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/1809/"
