"id","名前","種類","性別","年齢（登録時）","体重","毛色","避妊・去勢","マイクロチップ","ワクチン接種","ひとこと","健康状態","性格","保護された経緯","写真ファイルパス"
"3914","シン","その他の犬種、ミックス","メス（♀）","0歳4ヵ月（2017年06月13日登録）","10kg","黒、茶、白","未","有","済","元気いっぱい、遊び甲斐のある子です","良好。足が太いので女の子ながら大きくなりそう。","人懐っこく遊びたがり。穴を掘ったり木を囓ったり、1匹でよく遊んでいますが断然人と居たいタイプ。甘噛み癖も出ていますが、聞き分けは割と良いかなと。","飼い主さんからの引き取り","./img/3914/"
"3916","B","ミックス","メス（♀）","0歳1ヵ月（2017年06月14日登録）","0.4kg","キジ白","未","無","未","かわいい女の子です。","普通","良","野良猫を保護","./img/3916/"
"3924","ナッツ","ミニチュア・ダックスフンド","メス（♀）","2歳11ヵ月（2017年06月14日登録）","3.54kg","クリーム","済","有","済","只今、環境に慣れさせ中です。トリミングは終わりました。","良好","ビビリ、慣れると人懐っこい","ブリーダーから保護","./img/3924/"
"3925","アリス","チワワ","メス（♀）","推定6歳（2017年06月14日登録）","2kg","ブラック&ホワイト","未","有","済","只今、環境に慣れさせ中です。トリミングする予定です。","ペコ(中)、パテラG3","少しビビリ、人懐っこい、抱っこ好き","ブリーダーから保護","./img/3925/"
"3926","小町","ミニチュア・ダックスフンド","メス（♀）","推定5歳（2017年06月15日登録）","3.9kg","クリーム","未","有","済","只今、環境に慣れさせ中です。トリミングは終わりました。","乳腺腫瘍、パテラ(外方)","人懐っこい、活発","ブリーダーから保護","./img/3926/"
"3927","みけちゃん","ミックス","メス（♀）","0歳1.5ヵ月（2017年06月16日登録）","0.68kg","三毛","未","無","未","保護時は緊張していましたが、とても可愛い三毛ちゃんです!!もう1頭同時に保護しているので、可能であれば2頭同時のお引き取りを希望します。","ノミ寄生が認められましたが、駆虫してあります。内部寄生虫の駆虫もしてあります。風邪症状は認められていません。","元気で明るい","交通量の多い橋のたもとで生まれ、カラスに襲われる危険性や川に落ちる危険性があるため保護されました。","./img/3927/"
"3929","キジトラちゃん","日本猫","メス（♀）","0歳1.5ヵ月（2017年06月17日登録）","0.62kg","キジトラ","未","無","未","保護した当初はヒトを怖がっていましたがすぐに慣れて保護の翌日にはゴロゴロスリスリ、コロンと転がってお腹を撫でて!とアピールしていました。とても性格の良い子です。他の猫とも仲良くできます。トイレしつけ済み。","体内寄生虫駆除済み。猫エイズ、白血病ともに陰性です。食欲元気あり、近日ワクチン接種予定です。","美少女な見た目とうらはらに、結構おてんばさんです。物怖じしません。大人猫のシッポで遊ぶのが大好きです。","車の下に入り込んで大きな声で鳴いていました。なかなか出てきてくれませんでしたが、大人猫を近づけると誘われたのか出てきてくれました。","./img/3929/"
"3931","メロンちゃん17-3-D4","その他の犬種、ミックス","メス（♀）","0歳5ヵ月（2017年06月20日登録）","3.8kg","白、茶","未","無","済","終生飼育していただける優しい飼い主さんを待っています!譲渡前の審査段階でのご自宅訪問や譲渡後のフォローなどの関係上東京、神奈川、埼玉、千葉エリアと限らせて頂いております。譲渡後に不妊手術を受けて頂くことになります。","良好・2017年6月混合ワクチン接種済み(6種)・2017年6月ノミダニ予防、フィラリア予防済み","・人懐っこくて、抱っこもさせてくれます。・初対面でも自分から寄ってくるタイプ・車がちょっと苦手です。・フードを食べている時は手を出さないよう少し注意が必要です。","新しい飼い主様を探しております。","./img/3931/"
"3932","ダイくん17-3-D5","その他の犬種、ミックス","オス（♂）","推定2-3歳（2017年06月20日登録）","3.6kg","白、茶","未","無","未","終生飼育していただける優しい飼い主さんを待っています!譲渡前の審査段階でのご自宅訪問や譲渡後のフォローなどの関係上東京、神奈川、埼玉、千葉エリアと限らせて頂いております。譲渡後に去勢手術を受けて頂くことになります。","良好・2017年6月混合ワクチン接種済み(6種)・2017年6月フィラリア検査陰性・2017年6月ノミダニ予防、フィラリア予防済み・2017年6月トリミング済み","・やや神経質な性格です。・環境や人に慣れるまでに時間を要します。","新しい飼い主様を探しております。","./img/3932/"
"3934","小町","ミニチュア・ダックスフンド","メス（♀）","推定5歳（2017年06月21日登録）","3.9kg","クリーム","未","有","済","只今、環境に慣れさせ中です。トリミングは終わりました。---大宮の保護団体WithVetsからの提携募集です。申込があった場合に当院でのお引き渡しとなります。","乳腺腫瘍、パテラ(外側)","人懐っこい、活発","ブリーダーから保護","./img/3934/"
"3935","696","日本猫","オス（♂）","0歳8ヵ月（2017年06月28日登録）","3kg","キジ白","済","有","済","事故の影響で下半身に障害が残り、排泄の感覚がないためトイレで排泄することができません。排泄以外は日常生活に問題なく生活しています。非常に友好的で、穏やかです。現在、動物病院にお預かりいただいています。","","","昨年12月、交通事故に遭い保護されました。","./img/3935/"
